"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas","IMCRA 4 Regions","IBRA 7 Regions","Maximum elevation in meters","Minimum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"5282480e-a05d-41e8-8566-3dfd3744864c","19171819","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr1411","iNaturalist","","","","","CC-BY-NC-Int","iNaturalist","Observations","","-28.6600446172","152.9483153727","","-28.6600446172","152.9483153727","","29582.0","Australia","New South Wales","Kyogle (A)","","South Eastern Queensland","","","","","","QuestaGame","2018","12","23","2018-12-23","2018-12-23T23:59","HumanObservation","HumanObservation","present","","","","true","true"
"49532c7c-e7f3-4cb1-92ad-cd9c0e60a9c1","K287037","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr717","Australian Museum Cicada Expedition","","","","","CC-BY","AM","","Moorebank","-33.9333","150.9328","","-33.9333","150.9328","","","Australia","New South Wales","Liverpool (C)","","Sydney Basin","","","","","","","1998","12","11","1998-12-11","","","PreservedSpecimen","present","","","","true","true"
"47ef1d0d-2133-49b0-92f9-1c15a06657db","HEM86","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Fabricius, 1803)","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr342","Museums Victoria provider for OZCAM","in16","Museums Victoria","co39","Museums Victoria Entomology Collection","CC-BY","NMV","Entomology","Wahroonga","-33.72","151.12","WGS84","-33.72","151.12","","","Australia","New South Wales","Ku-ring-gai (A)","","Sydney Basin","","","","","1","R. D.","1952","12","11","1952-12-11","","PreservedSpecimen","PreservedSpecimen","present","Unknown","specimenForm=pinned","","true","true"
"45550b2f-cf37-4b29-a6b5-fb71266ac098","9001608","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr1411","iNaturalist","","","","","CC-BY-NC-Int","iNaturalist","Observations","","-32.533117693","152.2514224884","","-32.533117693","152.2514224884","","29093.0","Australia","New South Wales","Great Lakes (A)","","NSW North Coast","","","","","","sue_wardlaw","2017","12","01","2017-12-01","2017-12-01T06:01","HumanObservation","HumanObservation","present","","","","true","true"
"4398276c-5ce6-4dd0-a06c-70a072211aa5","K287016","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr717","Australian Museum Cicada Expedition","","","","","CC-BY","AM","","Raglan","-33.4196","149.6587","","-33.4196","149.6587","","","Australia","New South Wales","Bathurst Regional (A)","","South Eastern Highlands","","","","","","","1980","12","16","1980-12-16","","","PreservedSpecimen","present","","","el894","true","true"
"42175b58-e45e-4639-87b4-39560120e4e9","14182936","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr1411","iNaturalist","","","","","CC-BY-NC-Int","iNaturalist","Observations","","-32.32126666","152.5245879091","","-32.32126666","152.5245879091","","920.0","Australia","New South Wales","Great Lakes (A)","","NSW North Coast","","","","","","Alison Lake","2017","12","13","2017-12-13","Wed Dec 13 2017 11:56:42 GMT-0500 (EST)","HumanObservation","HumanObservation","present","","","","true","true"
"41b3edef-1a9e-47df-9ee8-105e51768db3","","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Double Drummer)","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr364","ALA species sightings and OzAtlas","","","","","CC-BY","","","","-35.77585154904198","150.2270936965942","","-35.77585154904198","150.2270936965942","","","Australia","New South Wales","Eurobodalla (A)","","South East Corner","","","","","1","Ian Bevege","2003","12","31","2003-12-31","","HumanObservation","HumanObservation","unknown","","","","true","true"
"3f5ca0b8-ccf1-4158-a392-ce060a62d084","","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Fabricius, 1803)","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr1902","Questagame weekly feed","","","","","CC-BY-NC","","","","-34.7","150.8","WGS84","-34.7","150.8","","","Australia","New South Wales","Kiama (A)","","Sydney Basin","","","","","","Amity|questagame.com","2018","12","28","2018-12-28","","","HumanObservation","present","","","","true","true"
"3be36e1e-7e81-4132-9c31-7cf176469dfd","K.286993","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Fabricius, 1803)","Double Drummer","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co9","Australian Museum Entomology Collection","CC-BY","AM","Entomology","","-30.88846","153.03885","","-30.88846","153.03885","","10000.0","Australia","New South Wales","Kempsey (A)","","NSW North Coast","","","","","","Musgrave, Mr A.","1929","12","","1929-12-01","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"3b0d7f2e-bf6d-4d22-bd05-230792f4512c","K.287012","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Fabricius, 1803)","Double Drummer","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co9","Australian Museum Entomology Collection","CC-BY","AM","Entomology","","-19.0","146.266","","-19.0","146.266","","10000.0","Australia","Queensland","Townsville (C)","","Wet Tropics","","","","","","McAlpine, Dr. David K. - Australian Museum - Science","1971","12","08","1971-12-08","","PreservedSpecimen","PreservedSpecimen","present","","","el882","true","true"
